Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
01.41.990;;Прочие виды услуг, относящиеся к группировке 01.41.000;S
01.42.000;;Услуги в области животноводства (кроме ветеринарных услуг);
01.42.110;;Услуги по уходу за крупным рогатым скотом;S
01.42.120;;Услуги, связанные со свиноводством;S
01.42.130;;Услуги, связанные с овцеводством;S
01.42.140;;Услуги, связанные с козоводством;S
01.42.150;;Услуги, связанные с птицеводством;S
01.42.160;;Услуги, связанные с коневодством и разведением прочих животных семейства лошадиных;S
01.42.170;;Услуги, связанные с верблюдоводством;S
01.42.180;;Услуги, связанные с оленеводством;S
01.42.210;;Услуги по проведению работ в прочих отраслях животноводства;S
01.42.220;;Услуги по подготовке кормов для кормления животных, раздаче кормов, поению животных;S
01.42.990;;Прочие виды услуг, относящиеся к группировке 01.42.000;S
01.5;;Услуги, связанные с охотой, ловлей и разведением диких животных;
01.50.000;;Услуги, связанные с охотой, ловлей и разведением диких животных;
01.50.110;;Услуги, связанные с изучением охотничьих угодий;S
01.50.120;;Услуги, связанные с охотой, включая ловлю животных, для получения продуктов питания, шкур, кожи;S
01.50.130;;Услуги, связанные с ловлей животных для использования их в исследовательских целях, в зоопарках, для переселения или в качестве домашних животных;S
01.50.140;;Услуги по охране и воспроизводству диких животных;S
01.50.150;;Услуги по поддержанию численности животных на оптимальном уровне;S
01.50.990;;Прочие виды услуг, относящиеся к группировке 01.50.000;S
02;;Продукция лесоводства, лесозаготовок и связанные с этим услуги;
02.0;;Продукция лесоводства, лесозаготовок и связанные с этим услуги;
02.01.000;;"Необработанная древесина; природные смолы; натуральная пробка; прочая продукция лесоводства; услуги лесопитомников";
02.01.110;Тысяча кубических метров;Круглые лесоматериалы хвойных пород для распиловки;G
02.01.120;Тысяча кубических метров;Круглые лесоматериалы хвойных пород для лущения и строгания;G
02.01.130;Тысяча кубических метров;Круглые лесоматериалы хвойных пород для производства целлюлозы и древесной массы и технологическая щепа;G
02.01.140;Тысяча кубических метров;Круглые лесоматериалы хвойных пород прочего назначения;G
02.01.160;Тысяча кубических метров;Круглые лесоматериалы лиственных пород для распиловки;G
02.01.170;Тысяча кубических метров;Круглые лесоматериалы лиственных пород для лущения и строгания;G
02.01.180;Тысяча кубических метров;Круглые лесоматериалы лиственных пород для производства целлюлозы и древесной массы и технологическая щепа;G
02.01.210;Тысяча кубических метров;Круглые лесоматериалы лиственных пород прочего назначения;G
02.01.230;Тысяча кубических метров;Круглые лесоматериалы тропических пород для распиловки;G
02.01.240;Тысяча кубических метров;Круглые лесоматериалы тропических пород для лущения и строгания;G
02.01.260;Тысяча кубических метров;Топливная древесина в виде бревен (дрова-долготье);G
02.01.270;Тонна;Топливная древесина в виде поленьев, вязанок хвороста (разделанные дрова);G
02.01.280;Тонна;Топливная щепа;G
02.01.320;Тысяча кубических метров;Бондарная древесина;G
02.01.330;Кубический метр;Грубообтесанные лесоматериалы для производства тростей, зонтов, ручек инструментов и аналогичных изделий;G
02.01.340;Кубический метр;Заостренные сваи, колья и столбы;G
02.01.350;Кубический метр;Лущеная древесина;G
02.01.410;Тонна;Балата, гуттаперча, гуаюль, чикл и аналогичные природные смолы;G
02.01.420;Тонна;Природный неочищенный шеллак;G
02.01.430;Тонна;Гуммиарабик;G
02.01.440;Тонна;Прочие природные смолы, живица (бальзамы), камеди;G
02.01.450;Тонна;Натуральная пробка, необработанная или прошедшая первичную обработку;G
02.01.510;Тонна;Мхи и лишайники, используемые для декоративных целей;G
02.01.520;Штука;Рождественские деревья и ветки хвойных деревьев;G
02.01.530;Штука;Части растений без цветков и бутонов и травы, пригодные для составления букетов и других декоративных целей;G
02.01.540;Штука;Засушенные или обработанные другими способами части растений без цветков и бутонов и травы, пригодные для составления букетов и других декоративных целей;G
02.01.610;Погонный метр;Растительные материалы, используемые, главным образом, для плетения;G
02.01.620;Погонный метр;Растительные материалы, используемые, главным образом, для набивки (например, капок, растительные волокна, морской взморник), в том числе, в виде полотнищ на подложке из других материалов или без нее;G
02.01.630;Погонный метр;Материалы растительного происхождения, используемые, главным образом, для производства щеточных изделий и метел;G
02.01.640;Погонный метр;Материалы растительного происхождения, не включенные в другие группировки;G
02.01.710;Кубический метр;Лес хвойных пород на корню;G
02.01.720;Кубический метр;Лес лиственных пород на корню;G
02.01.810;;Услуги по выращиванию саженцев деревьев и кустарников и порослевого леса;S
02.01.820;;Услуги по выращиванию рождественских (новогодних) елок;S
02.01.990;;Прочие виды товаров и услуг, относящиеся к группировке 02.01.000;
02.01.991;;Прочие виды товаров, относящиеся к группировке 02.01.000;G
02.01.992;;Прочие виды услуг, относящиеся к группировке 02.01.000;S
02.02.000;;Услуги, связанные с лесоводством и лесозаготовками;
02.02.110;;Услуги, связанные с лесоводством;S
02.02.120;;Услуги, связанные с лесозаготовками;S
02.02.990;;Прочие виды услуг, относящиеся к группировке 02.02.000;S
Раздел B;;"РЫБА И ПРОЧАЯ ПРОДУКЦИЯ РЫБОЛОВСТВА; УСЛУГИ, СВЯЗАННЫЕ С РЫБОЛОВСТВОМ";
Подраздел BA;;"РЫБА И ПРОЧАЯ ПРОДУКЦИЯ РЫБОЛОВСТВА; УСЛУГИ, СВЯЗАННЫЕ С РЫБОЛОВСТВОМ";
05;;"Рыба и прочая продукция рыболовства; услуги, связанные с рыболовством";
05.0;;"Рыба и прочая продукция рыболовства; услуги связанные с рыболовством";
05.00.000;;"Рыба и прочая продукция рыболовства; услуги, связанные с рыболовством";
05.00.110;Тонна;Живая лососевая рыба;G
05.00.120;Тонна;Живая камбалообразная рыба и живой морской окунь (скорпена);G
05.00.130;Тонна;Живая окунеобразная и макрелещуковая рыба;G
05.00.140;Тонна;Живая карповая рыба;G
