Список организаций, имеющих лицензию биржевого посредника, совершающего товарные фьючерсные и опционные сделки в биржевой торговле	http://www.ffms.ru/catalog.asp?ob_no=3586	Список организаций, имеющих лицензию биржевого посредника, совершающего товарные фьючерсные и опционные сделки в биржевой торговле	russia, government, finances, ffms	RU	Массив данных	HTML(table)														
Сведения об организациях, осуществляющих деятельность по управлению инвестиционными фондами, паевыми инвестиционными фондами и негосударственными пенсионными фондами по состоянию на 01.10.2008	http://www.ffms.ru/catalog.asp?ob_no=3691	Сведения об организациях, осуществляющих деятельность по управлению инвестиционными фондами, паевыми инвестиционными фондами и негосударственными пенсионными фондами по состоянию на 01.10.2008	russia, government, finances, ffms	RU	Массив данных	HTML(table)														
Профессиональные участники фондового рынка НАУФОР	http://rep.naufor.ru/members/m1.asp	Профессиональные участники фондового рынка НАУФОР	russia, stockmarket, finances	RU	Массив данных	HTML(table)														
Национальная Лига Управляющих - перечень всех управляющих компаний	http://www.nlu.ru/uk-all.htm	Национальная Лига Управляющих - перечень всех управляющих компаний	russia, stockmarket, finances	RU	Массив данных	HTML(table), XLS														
Национальная Лига Управляющих - все ПИФы	http://www.nlu.ru/pifs-all.htm	Национальная Лига Управляющих - все ПИФы	russia, stockmarket, finances	RU	Массив данных	HTML(table), XLS, XML														
Национальная Лига Управляющих - члены НЛУ	http://www.nlu.ru/uk-members.htm	Национальная Лига Управляющих - члены НЛУ	russia, stockmarket, finances	RU	Массив данных	HTML(table)														
Список депозитариев фондового рынка	http://www.ffms.ru/catalog.asp?ob_no=3676	Список депозитариев фондового рынка	russia, stockmarket, finances	RU	Массив данных	HTML(table), XLS														
Реестр операторов персональных данных	http://pd.rsoc.ru/	Реестр операторов персональных данных	russia, government	RU	Форма поиска	HTML														
Реестр негосударственных пенсионных фондов	http://www.napf.ru/155751	Реестр негосударственных пенсионных фондов	russia, finances	RU	Массив данных	HTML(table)														
Список организаций членов НАПФ	http://www.napf.ru/201767	Список организаций членов НАПФ	russia, finances	RU	Массив данных	HTML(table)														
Список организаций ассоциированных членов НАПФ	http://www.napf.ru/211238	Список организаций ассоциированных членов НАПФ	russia, finances	RU	Массив данных	HTML(table)														
Предприятия и организации работающие с Геоинформацией и в области землеустройства	http://www.kadastr.ru/info/organizations_catalog/	Предприятия и организации работающие с Геоинформацией и в области землеустройства	russia, government	RU	Форма поиска	HTML														
Реестр лиц, считающихся кадастровыми инженерами в переходный период	http://www.kadastr.ru/field_of_activity/kadastr/kad_ingener/	Реестр лиц, считающихся кадастровыми инженерами в переходный период	russia, government	RU	Массив данных	XLS														
Реестр лицензий на деятельность по воспроизведению (изготовлению экземпляров) аудиовизуальных произведений и фонограмм на любых визуальных носителях	http://www.rsoc.ru/main/directions/lic/ree/	Реестр лицензий на деятельность по воспроизведению (изготовлению экземпляров) аудиовизуальных произведений и фонограмм на любых визуальных носителях	russia, government	RU	Массив данных	XLS														
Реестр лицензий на деятельность по телерадиовещанию	http://lic-v.esoftproject.ru/	Реестр лицензий на деятельность по телерадиовещанию	russia, government	RU	Форма поиска	HTML														
Реестр лицензий в области связи	http://www.rsoc.ru/main/directions/845/846/	Реестр лицензий в области связи	russia, government	RU	Массив данных	XLS														
Реестр присвоения радиочастот	http://www.rsoc.ru/main/directions/845/937/938/	Реестр присвоения радиочастот	russia, government	RU	Массив данных	XLS														
Реестр по лицензиям судовых радиостанций	http://www.rsoc.ru/main/directions/845/937/938/	Реестр по лицензиям судовых радиостанций	russia, government	RU	Массив данных	XLS														
Реестр операторов, занимающих существенное положение в сети связи общего пользования.	http://www.rsoc.ru/main/directions/845/856/	Реестр операторов, занимающих существенное положение в сети связи общего пользования.	russia, government	RU	Массив данных	DOC														
Реестр разрешений на строительство, реконструкцию, проведение изыскательских работ для проектирования и ликвидацию сухопутных линий связи при пересечении госграницы РФ и на приграничной территории	http://www.rsoc.ru/main/directions/845/857/	Реестр разрешений на строительство, реконструкцию, проведение изыскательских работ для проектирования и ликвидацию сухопутных линий связи при пересечении госграницы РФ и на приграничной территории	russia, government	RU	Массив данных	DOC														
Перечень наименований зарегистрированных СМИ	http://www.rsoc.ru/main/directions/845/933/	Перечень наименований зарегистрированных СМИ	russia, government	RU	Массив данных	XLS														
Реестр банковских идентификационных кодов БИК	http://cbr.bankir.ru/bik_update.shtml	Реестр банковских идентификационных кодов БИК	russia, finances	RU	Массив данных	DBF														
Перечень кредитных организаций, давших согласие на раскрытие формы 101	http://www.cbr.ru/credit/transparent.asp	Перечень кредитных организаций, давших согласие на раскрытие формы 101 (оборотная ведомость по счетам бухгалтерского учета) и формы 102 (отчет о прибылях и убытках)	russia, finances, government	RU	Массив данных	HTML(table)														
Справочник кредитных организаций	http://www.cbr.ru/credit/	Справочник кредитных организаций	russia, finances, government	RU	Массив данных	HTML(table)														
Перечень расчетно-кассовых центров Банка России	http://www.cbr.ru/today/structure/centers_list/main.asp?region=all&x=32&y=9	Перечень расчетно-кассовых центров Банка России	russia, finances, government	RU	Массив данных	HTML(table)														
